Time,SM10,SM45,SM80,Temp,Humd,LMNS,PRSR
31-05-2020 18:39,41.3223,64.935,67.5675,34.31,60.65,97.8855,20.51
31-05-2020 18:41,40.9836,65.7894,68.4931,35.16,58.82,97.88463,21.4
31-05-2020 18:43,41.3223,65.7894,68.4931,36.04,52.2,97.88392,15.12
31-05-2020 18:45,39.37,63.2911,65.7894,37.36,49.4,97.87686,56.09
31-05-2020 18:48,38.4615,63.2911,65.7894,37.4,46.44,97.87652,15.01
31-05-2020 18:50,38.4615,63.2911,65.7894,37.36,51.01,97.86224,10.09
31-05-2020 18:51,9.4339,61.7283,66.6666,37.27,48.12,97.86637,10.53
31-05-2020 18:53,39.0625,64.1025,64.935,36.86,50.35,97.87478,15.02
31-05-2020 18:54,40.6504,64.1025,66.6666,36.84,49.12,97.87869,13.19
31-05-2020 18:56,39.0625,63.2911,64.935,36.61,57.07,97.87515,17.19
31-05-2020 18:58,38.4615,63.2911,65.7894,36.45,56.48,97.86734,27.27
31-05-2020 19:00,38.4615,63.2911,64.935,36.81,54.4,97.86917,29.14
31-05-2020 19:02,38.4615,63.2911,64.935,37.33,53.61,97.86492,30.24
31-05-2020 19:04,38.4615,63.2911,65.7894,37.81,48.71,97.85299,25.68
31-05-2020 19:07,37.8787,63.2911,64.935,38.13,51.24,97.85774,33.44
31-05-2020 19:09,38.1679,63.2911,65.7894,38.61,51.02,97.85312,34.37
31-05-2020 19:11,37.8787,63.2911,64.935,39.2,47.19,97.84774,32.91
31-05-2020 19:13,37.8787,63.2911,65.7894,39.61,45.16,97.84917,31.88
31-05-2020 19:15,37.8787,63.2911,65.7894,39.83,46.2,97.84374,34.19
31-05-2020 19:17,37.5939,63.2911,64.935,40.04,45.35,97.83632,33.97
31-05-2020 19:20,37.5939,63.2911,64.935,40.47,45.14,97.8567,34.23
31-05-2020 19:22,37.5939,63.2911,64.935,40.7,43.3,97.85157,34.54
31-05-2020 19:24,37.5939,63.2911,64.935,40.93,45.41,97.86589,36.83
31-05-2020 19:26,37.5939,63.2911,64.935,41.04,41.89,97.86113,38.11
31-05-2020 19:28,37.3134,64.1025,64.935,41.2,42.49,97.85557,36.02
31-05-2020 19:31,37.5939,63.2911,64.935,41.31,42.35,97.84842,24.58
31-05-2020 19:33,37.037,64.1025,64.1025,40.93,38.68,97.84764,20.89
31-05-2020 19:35,36.7647,63.2911,64.1025,40.13,40.21,97.83831,17.53
31-05-2020 19:37,36.7647,62.5,64.935,39.13,38.64,97.84369,18.11
31-05-2020 19:39,36.4963,62.5,64.1025,38.36,42.92,97.84216,17.64
31-05-2020 19:41,36.4963,62.5,64.935,37.81,42.09,97.8589,17.81
31-05-2020 19:44,36.2318,62.5,64.935,37.31,47.83,97.85974,6.64
31-05-2020 19:46,35.9712,62.5,64.935,36.61,43.39,97.86054,11.44
31-05-2020 19:48,35.9712,63.2911,64.1025,35.83,50.91,97.85737,10.79
31-05-2020 19:50,36.2318,62.5,64.1025,35.18,50.26,97.85319,10.16
31-05-2020 19:52,35.7142,62.5,64.1025,34.63,44.71,97.84074,9.66
31-05-2020 19:55,35.7142,62.5,64.1025,33.97,47.16,97.85082,9.39
31-05-2020 19:57,35.7142,63.2911,64.935,33.66,54.48,97.84747,9.29
31-05-2020 19:59,35.4609,64.1025,64.1025,33.25,49.05,97.84697,9.31
31-05-2020 20:01,35.4609,63.2911,64.935,32.97,47.98,97.84767,9.37
31-05-2020 20:03,35.2112,63.2911,64.935,32.7,49.37,97.84591,9.39
31-05-2020 20:06,34.965,64.1025,64.1025,32.59,62.36,97.84749,9.4
31-05-2020 20:08,35.2112,64.1025,64.1025,32.38,56.72,97.84719,9.35
31-05-2020 20:10,34.7222,64.1025,64.1025,32.24,63.44,97.84511,9.21
31-05-2020 20:12,34.965,63.2911,64.1025,32.18,62.45,97.84612,9.08
31-05-2020 20:14,34.965,63.2911,64.1025,32.16,60.16,97.84097,9.05
31-05-2020 20:16,34.7222,63.2911,64.1025,32.18,60.4,97.84097,8.91
31-05-2020 20:19,34.7222,63.2911,64.1025,32.16,58.66,97.84017,8.54
31-05-2020 20:21,34.7222,63.2911,64.935,32.16,61.61,97.84484,8.41
31-05-2020 20:23,34.2465,63.2911,64.1025,32.09,66.06,97.83912,8.41
31-05-2020 20:25,34.2465,63.2911,64.935,31.95,58.16,97.8433,8.25
31-05-2020 20:27,34.4827,63.2911,64.935,31.94,61.31,97.837,8.1
31-05-2020 20:30,34.2465,63.2911,64.935,31.95,66.87,97.83747,8.06
31-05-2020 20:32,34.2465,63.2911,64.935,31.86,68.97,97.83866,7.96
31-05-2020 20:34,34.0136,63.2911,64.935,31.7,64.35,97.82978,7.89
31-05-2020 20:36,34.0136,63.2911,64.935,31.54,65.08,97.84021,7.95
31-05-2020 20:38,34.0136,64.1025,64.1025,31.4,57.2,97.84049,8.03
31-05-2020 20:40,34.0136,64.1025,64.1025,31.29,64.96,97.83957,7.92
31-05-2020 20:43,34.2465,63.2911,64.935,31.31,57.28,97.84162,7.75
31-05-2020 20:45,34.0136,63.2911,64.1025,31.31,57.67,97.84517,7.38
31-05-2020 20:47,33.7837,63.2911,64.935,31.35,64.86,97.84805,6.87
31-05-2020 20:49,33.7837,63.2911,64.935,31.29,60.63,97.84825,6.38
31-05-2020 20:51,33.7837,64.1025,64.1025,31.31,72.06,97.84551,6.03
31-05-2020 20:54,33.7837,63.2911,64.935,31.27,61.12,97.85712,5.99
31-05-2020 20:56,33.7837,63.2911,64.935,31.23,66.22,97.85151,6.07
31-05-2020 20:58,33.7837,64.1025,64.1025,31.14,58.28,97.8398,5.96
31-05-2020 21:00,34.0136,64.1025,64.1025,31.05,66.1,97.84565,5.68
31-05-2020 21:02,34.2465,63.2911,64.935,30.94,64.81,97.84637,5.47
31-05-2020 21:04,34.0136,64.1025,64.1025,30.88,66.79,97.85637,5.44
31-05-2020 21:07,34.0136,64.1025,64.935,30.75,66.54,97.85415,5.49
31-05-2020 21:09,34.0136,63.2911,64.935,30.6,57.41,97.85472,5.62
31-05-2020 21:11,34.0136,64.1025,64.1025,30.52,59.18,97.8462,5.76
31-05-2020 21:13,34.0136,64.1025,64.935,30.53,62.35,97.84539,5.87
31-05-2020 21:15,34.0136,64.935,64.935,30.48,60.25,97.84687,5.89
31-05-2020 21:18,34.2465,63.2911,64.935,30.46,58.65,97.84124,5.86
31-05-2020 21:20,34.0136,64.1025,64.935,30.46,56.09,97.84204,5.74
31-05-2020 21:22,34.0136,64.935,64.935,30.4,58.68,97.83676,5.63
31-05-2020 21:24,34.0136,64.1025,65.7894,30.35,59.83,97.82791,5.44
31-05-2020 21:26,34.0136,64.935,64.935,30.29,57.09,97.8355,5.3
31-05-2020 21:28,34.0136,64.935,64.935,30.22,58.05,97.83676,5.17
31-05-2020 21:31,34.0136,64.935,64.935,30.19,65.46,97.82795,5.02
31-05-2020 21:33,34.0136,64.935,64.935,30.12,59.97,97.8257,4.86
31-05-2020 21:35,34.0136,64.1025,64.935,30.11,59.76,97.82955,4.7
31-05-2020 21:37,34.0136,64.1025,65.7894,30.1,61.23,97.82169,4.48
31-05-2020 21:39,33.7837,64.935,64.935,30.04,60.64,97.81671,3.78
31-05-2020 21:42,33.7837,64.1025,65.7894,29.97,61.93,97.83987,3.04
31-05-2020 21:44,33.7837,64.1025,65.7894,29.67,68.38,97.82909,4.58
31-05-2020 21:46,33.7837,64.935,64.935,29.06,75.87,97.8165,3.66
31-05-2020 21:48,34.0136,64.1025,64.935,28.62,75.04,97.80547,3.82
31-05-2020 21:50,33.7837,64.1025,65.7894,28.29,77.68,97.79054,3.88
31-05-2020 21:53,33.7837,64.1025,65.7894,28.12,79.84,97.80215,3.82
31-05-2020 21:55,33.557,64.1025,65.7894,27.94,80.78,97.80265,3.81
